"Data Source","World Development Indicators",

"Last Updated Date","2019-10-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Aruba","ABW","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.619117736816","97.14286","94.40407","94.75524","90.21592","90.5599","88.19797","93.18612","95.58824","95.13303","96.24258","94.7861","","","96.57064","101.1806","","","","",
"Afghanistan","AFG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","16.6569995880127","","","17.8807601928711","19.6528396606445","","26.3732395172119","32.7061195373535","","","17.8910293579102","18.5706005096436","","","","","","","","27.5751705169678","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","42.9405708312988","37.2060203552246","","","","","","","","","29.2000007629395","","","","","","","","","","","","","","","","","39.19701","38.78758","39.80721","46.18715","","","","","","","",
"Albania","ALB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.5860900878906","","","","96.58269","96.39394","","94.44817","93.4378","","","96.19241","92.39359","91.05149","88.83624","92.98266","98.67213","89.53918","100.9847","98.86159","99.88155","101.9837","101.5379",
"Andorra","AND","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","49.1357192993164","49.0543212890625","48.6949310302734","50.2052917480469","51.6967887878418","54.6998405456543","56.3058204650879","58.3688011169434","57.7227210998535","53.4964294433594","56.5457992553711","59.9771499633789","60.7207107543945","61.8922080993652","64.2521591186523","68.3073120117188","67.368766784668","67.2732391357422","67.7319183349609","67.9199066162109","69.2625427246094","69.2880706787109","70.0737228393555","70.3044509887695","71.1640090942383","72.2020721435547","73.2523193359375","74.1120300292969","75.1240081787109","76.0034027099609","75.5474166870117","76.5634765625","77.4195327758789","79.8280410766602","81.66796875","82.6951522827148","80.9048461914063","82.708381652832","84.5746536254883","82.8910980224609","84.36583","85.17569","87.03526","85.06061","85.99188","85.61407","85.12254","84.44785","84.96593",
"United Arab Emirates","ARE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","39.5404281616211","41.7352905273438","49.5040702819824","56.757381439209","60.6988716125488","65.7079162597656","68.134391784668","72.3218536376953","81.8811187744141","81.2938385009766","78.2446594238281","74.3179168701172","75.9476699829102","76.3806228637695","74.7165908813477","82.19580078125","91.0653991699219","97.5119323730469","95.8974990844727","93.3029479980469","91.9644470214844","89.8623809814453","85.7958374023438","87.8336791992188","85.2947692871094","83.7565612792969","80.28414","76.57745","80.73299","","","","","97.45089","","","","","93.94156","95.68699","99.14915","103.5202","","","",
"Argentina","ARG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","70.9723434448242","71.8338928222656","","","75.5764389038086","78.9116897583008","78.6395416259766","","","","","","","","","","","","","","","","","","98.5775985717773","","92.9632568359375","91.5287628173828","99.1517181396484","97.2020416259766","97.34647","96.82166","100.51583","98.16794","96.57995","94.64183","97.10248","99.86782","103.14217","103.30387","103.5674","103.8877","103.3522","101.645","103.1064","102.9737","103.8936","99.96276","",
"Armenia","ARM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.263801574707","","","93.8955001831055","","","","","93.70576","89.27111","100.04747","92.69158","93.81121","102.06971","105.79289","","94.49523","93.80897","93.85169","","96.65223","94.59064","90.75161","91.98771","89.87896",
"American Samoa","ASM","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","78.6484985351563","79.9885330200195","","","","","","","","","","","","","","","","85.8505630493164","","","","","","","","","","","","","","","","110.5548","101.2633","106.6099","103.6769","","","111.1503","92.55548","","98.18578","96.19883",
"Australia","AUS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Austria","AUT","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","94.9966583251953","96.8725433349609","97.0621032714844","","","","","","","","","","","","","","","","","","","","","","","","","100.91771697998","100.874877929688","","","100.2222","","98.7443","","","","","","","96.77202","96.69372","97.60601","98.69185","100.3738","99.65672","99.45318","",
"Azerbaijan","AZE","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.449462890625","93.9886169433594","91.5095672607422","82.402717590332","99.4701080322266","95.400260925293","92.1731033325195","89.51351","95.16858","97.58601","92.69615","95.59543","93.43062","91.60543","98.13037","90.73683","91.77172","89.51445","92.80683","91.99119","88.08941","98.12571","103.2802","111.3019","107.1722","100.2199",
"Burundi","BDI","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","5.74468994140625","","10.7066097259521","10.8587503433228","11.5667295455933","10.84547996521","11.106240272522","11.1504497528076","11.293399810791","11.4968900680542","11.788330078125","14.0806798934937","19.1786994934082","26.285120010376","27.4190902709961","28.4215507507324","28.1072006225586","38.9180488586426","33.1408500671387","41.0745887756348","45.6658592224121","48.7923316955566","52.0253410339355","","","","","","","24.3505","24.78704","25.1834","29.58314","31.792","33.94643","","38.66096","41.65349","48.35906","51.54842","56.37577","62.99792","70.71984","69.56656","64.53968","67.67451","68.3787","63.02139",
"Belgium","BEL","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","67.988037109375","69.6011734008789","70.5177230834961","72.4375915527344","74.4912109375","67.9652328491211","68.0403366088867","74.2399368286133","76.7947616577148","71.6752395629883","75.1000900268555","73.3164291381836","72.090446472168","71.350227355957","73.0824813842773","","","79.3348236083984","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Benin","BEN","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","18.2083301544189","21.2785606384277","21.733549118042","20.5769500732422","25.2224102020264","25.1312198638916","24.5163803100586","26.6809101104736","28.0457897186279","29.9370403289795","31.0934391021729","33.6030311584473","36.3955993652344","29.7593097686768","33.7422409057617","30.7568607330322","29.6744995117188","27.3365802764893","27.0206108093262","18.7912502288818","21.386100769043","21.658390045166","23.7917194366455","25.7407608032227","30.2514991760254","32.3626708984375","34.7839698791504","37.5240211486816","","37.80433","41.67732","43.78899","48.11963","51.87132","","","","63.6705","","66.71161","71.68802","73.04108","78.6056","79.4544","81.14033","80.74556","","",
"Burkina Faso","BFA","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","7.19572019577026","6.79262018203735","7.03775978088379","6.79652976989746","7.62610006332397","7.55316019058228","8.55743980407715","8.74263000488281","9.56079959869385","9.32446956634521","10.2999095916748","10.5466604232788","11.3079595565796","12.3067398071289","13.9058198928833","","15.8259401321411","16.9158401489258","16.587230682373","19.4958000183105","19.9518508911133","26.6804695129395","26.2448806762695","27.1162109375","18.5944595336914","22.5724391937256","","","23.4680404663086","25.42222","26.67762","27.48547","29.11165","30.42653","31.73658","32.80562","34.97427","38.86926","43.91451","47.05522","","57.36603","62.34405","60.8495","62.0298","61.72434","63.51922","65.47893",
"Bangladesh","BGD","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","44.571949005127","32.5847511291504","","","","28.9274806976318","","","","","","","","47.2596206665039","","","","","","","","","","","","","","","","66.32055","","","59.02299","65.45804","67.83219","","","","","","","","",
"Bulgaria","BGR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","96.8484420776367","97.4531936645508","96.936637878418","102.336318969727","93.2993316650391","93.7727737426758","91.185661315918","92.0359497070313","102.431968688965","103.427467346191","100.251770019531","96.5612411499023","93.6946029663086","99.4747009277344","110.229278564453","99.5395431518555","102.72142791748","102.494338989258","101.428230285645","99.1177673339844","89.2422332763672","87.5099487304688","85.9876403808594","88.2014770507813","87.8781585693359","90.3415679931641","94.4767990112305","93.9541931152344","96.0726928710938","96.15943","101.75486","96.56689","97.79256","98.64273","98.65926","99.35086","101.33284","95.15365","101.7044","113.3396","110.201","101.8106","98.95879","97.95254","96.19129","92.04534","","",
"Bahrain","BHR","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.0169982910156","89.7120513916016","91.1469573974609","93.6242523193359","90.6902694702148","92.7966613769531","99.6544494628906","105.091819763184","","102.981750488281","100.892860412598","99.6644973754883","94.5714874267578","93.9359588623047","92.0588226318359","","94.3992614746094","100.385391235352","98.78815","96.68489","100.54143","100.10331","102.04712","101.62845","","","","","","89.47138","93.22642","94.48237","96.64722","98.74027","99.51365","99.4512","97.87412",
"Bahamas, The","BHS","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.3255004882813","","","","","82.1727523803711","","","","","","101.86549","95.83603","96.38708","92.28225","90.46501","82.40611","89.73962","89.3228","79.21593","80.06567","85.2287","77.42339","","",
"Bosnia and Herzegovina","BIH","Primary completion rate, total (% of relevant age group)","SE.PRM.CMPT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
